BAIdentifier,BALegalName,BAAddress,BAPhoneNumber,BACorporateStatus,BACorporateStatusEffectiveDate,AmalgamatedIntoBAID,AmalgamatedIntoBALegalName,BAAmalgamationEstablishedDate,BALicenceEligibilityType,BALicenceEligibiltyDesc,BAAbbreviatedName
0001,177293 CANADA LTD.,150 6 AVE FL 21 PO BOX 2844   CALGARY AB CA T2P 3E3,403-296-8000,STRUCK,2012-04-02,,,,03,Limited Eligibility,177293 CANADA
0002,GULF CANADA LIMITED,401 9 AVE SW PO BOX 130   CALGARY AB CA T2P 2H7,403-233-4000,ACTIVE,1984-12-01,,,,03,Limited Eligibility,GULF CAN LTD
0003,MCGAHA CHARLES ,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,NON REGISTERED,2002-10-01,,,,03,Limited Eligibility,
0005,BP CANADA ENERGY RESOURCES COMPANY,1400-607 8 AVE SW    CALGARY AB CA T2P 0A7,403-233-1313,AMALGAMATED,1989-05-01,0060,BP CANADA ENERGY COMPANY ULC,2002-10-31,01,Not Eligible,
0006,HOME OIL COMPANY LIMITED,324 8 AVE SW SUITE 1600    CALGARY AB CA T2P 2Z5,999-999-9999,AMALGAMATED,2003-09-01,0K29,DEVON CANADA ULC,2004-03-31,01,Not Eligible,HOME OIL
0007,IMPERIAL OIL RESOURCES LIMITED,505 QUARRY PARK BLVD SE PO BOX 2480 STN M   CALGARY AB CA T2C 5N1,403-237-3737,ACTIVE,1984-12-01,,,,02,General Eligibility,IMP
0008,KOCH OIL CO LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,ACTIVE,2002-10-01,,,,01,Not Eligible,
0009,TWIN RICHFIELD OILS LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0024,TWIN RICHFIELD OILS LTD,2002-10-31,01,Not Eligible,TWIN RICHFIELD
0010,TALISMAN ENERGY INC,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1987-03-01,0BX2,TALISMAN ENERGY INC.,2002-10-31,01,Not Eligible,
0011,OAKWOOD PETROLEUMS LIMITED,2000-400 3 Ave SW    Calgary AB CA T2P 4H2,999-999-9999,AMALGAMATED,1992-10-01,0N72,SCEPTRE RESOURCES LIMITED,2002-10-31,01,Not Eligible,
0012,PETRO-CANADA,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0246,PETRO-CANADA,2002-10-31,01,Not Eligible,
0014,SCHERMERHORN OIL CORPORATION,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,STRUCK,1964-12-31,,,,03,Limited Eligibility,SCHERMERHORN
0015,HOME OIL COMPANY LIMITED,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,1994-01-01,0006,HOME OIL COMPANY LIMITED,2002-10-31,01,Not Eligible,
0016,CANTERRA ENERGY LTD,9945 108 ST    EDMONTON AB CA T5K 2G6,999-999-9999,AMALGAMATED,2002-10-01,0L73,CANTERRA ENERGY LTD.,2002-10-31,01,Not Eligible,
0017,IMPERIAL OIL RESOURCES,505 QUARRY PARK BLVD SE PO BOX 2480 STN M   CALGARY AB CA T2P 3M9,403-237-3737,DISSOLUTION/DISSOLVED,2016-12-31,,,,01,Not Eligible,IMPERIAL OIL R
